evals, mean, best, worst, success num
29, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
30, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
31, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
32, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
33, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
34, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
35, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
36, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
37, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
38, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
39, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
40, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
41, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
42, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
43, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
44, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
45, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
46, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
47, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
48, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
49, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
50, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
51, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
52, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
53, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
54, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
55, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
56, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
57, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
58, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
59, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
60, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
61, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
62, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
63, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
64, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
65, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
66, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
67, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
68, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
69, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
70, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
71, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
72, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
73, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
74, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
75, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
76, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
77, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
78, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
79, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
80, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
81, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
82, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
83, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
84, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
85, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
86, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
87, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
88, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
89, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
90, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
91, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
92, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
93, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
94, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
95, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
96, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
97, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
98, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
99, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
100, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
101, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
102, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
103, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
104, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
105, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
106, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
107, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
108, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
109, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
110, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
111, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
112, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
113, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
114, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
115, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
116, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
117, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
118, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
119, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
120, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
121, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
122, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
123, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
124, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
125, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
126, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
127, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
128, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
129, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
130, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
131, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
132, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
133, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
134, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
135, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
136, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
137, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
138, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
139, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
140, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
141, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
142, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
143, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
144, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
145, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
146, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
147, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
148, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
149, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
150, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
151, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
152, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
153, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
154, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
155, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
156, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
157, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
158, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
159, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
160, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
161, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
162, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
163, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
164, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
165, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
166, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
167, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
168, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
169, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
170, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
171, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
172, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
173, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
174, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
175, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
176, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
177, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
178, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
179, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
180, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
181, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
182, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
183, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
184, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
185, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
186, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
187, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
188, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
189, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
190, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
191, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
192, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
193, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
194, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
195, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
196, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
197, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
198, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
199, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
200, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
201, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
202, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
203, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
204, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
205, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
206, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
207, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
208, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
209, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
210, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
211, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
212, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
213, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
214, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
215, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
216, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
217, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
218, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
219, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
220, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
221, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
222, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
223, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
224, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
225, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
226, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
227, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
228, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
229, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
230, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
231, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
232, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
233, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
234, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
235, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
236, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
237, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
238, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
239, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
240, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
241, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
242, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
243, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
244, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
245, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
246, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
247, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
248, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
249, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
250, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
251, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
252, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
253, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
254, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
255, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
256, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
257, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
258, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
259, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
260, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
261, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
262, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
263, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
264, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
265, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
266, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
267, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
268, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
269, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
270, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
271, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
272, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
273, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
274, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
275, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
276, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
277, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
278, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
279, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
280, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
281, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
282, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
283, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
284, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
285, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
286, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
287, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
288, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
289, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
290, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
291, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
292, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
293, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
294, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
295, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
296, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
297, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
298, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
299, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
300, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
301, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
302, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
303, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
304, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
305, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
306, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
307, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
308, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
309, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
310, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
311, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
312, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
313, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
314, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
315, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
316, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
317, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
318, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
319, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
320, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
321, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
322, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
323, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
324, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
325, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
326, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
327, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
328, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
329, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
330, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
331, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
332, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
333, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
334, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
335, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
336, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
337, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
338, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
339, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
340, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
341, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
342, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
343, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
344, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
345, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
346, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
347, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
348, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
349, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
350, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
351, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
352, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
353, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
354, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
355, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
356, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
357, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
358, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
359, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
360, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
361, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
362, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
363, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
364, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
365, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
366, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
367, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
368, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
369, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
370, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
371, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
372, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
373, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
374, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
375, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
376, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
377, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
378, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
379, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
380, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
381, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
382, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
383, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
384, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
385, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
386, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
387, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
388, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
389, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
390, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
391, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
392, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
393, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
394, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
395, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
396, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
397, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
398, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
399, 0.4716221499230915, 0.12613014859874844, 1.1060955966247634, 0
