evals, mean, best, worst, success num
151, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
152, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
153, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
154, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
155, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
156, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
157, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
158, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
159, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
160, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
161, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
162, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
163, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
164, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
165, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
166, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
167, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
168, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
169, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
170, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
171, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
172, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
173, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
174, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
175, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
176, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
177, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
178, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
179, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
180, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
181, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
182, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
183, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
184, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
185, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
186, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
187, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
188, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
189, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
190, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
191, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
192, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
193, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
194, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
195, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
196, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
197, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
198, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
199, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
200, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
201, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
202, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
203, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
204, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
205, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
206, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
207, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
208, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
209, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
210, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
211, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
212, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
213, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
214, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
215, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
216, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
217, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
218, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
219, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
220, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
221, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
222, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
223, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
224, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
225, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
226, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
227, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
228, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
229, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
230, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
231, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
232, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
233, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
234, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
235, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
236, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
237, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
238, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
239, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
240, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
241, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
242, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
243, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
244, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
245, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
246, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
247, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
248, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
249, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
250, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
251, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
252, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
253, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
254, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
255, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
256, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
257, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
258, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
259, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
260, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
261, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
262, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
263, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
264, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
265, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
266, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
267, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
268, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
269, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
270, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
271, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
272, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
273, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
274, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
275, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
276, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
277, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
278, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
279, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
280, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
281, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
282, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
283, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
284, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
285, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
286, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
287, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
288, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
289, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
290, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
291, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
292, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
293, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
294, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
295, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
296, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
297, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
298, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
299, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
300, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
301, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
302, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
303, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
304, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
305, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
306, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
307, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
308, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
309, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
310, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
311, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
312, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
313, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
314, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
315, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
316, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
317, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
318, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
319, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
320, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
321, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
322, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
323, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
324, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
325, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
326, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
327, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
328, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
329, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
330, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
331, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
332, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
333, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
334, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
335, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
336, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
337, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
338, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
339, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
340, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
341, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
342, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
343, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
344, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
345, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
346, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
347, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
348, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
349, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
350, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
351, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
352, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
353, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
354, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
355, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
356, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
357, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
358, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
359, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
360, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
361, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
362, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
363, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
364, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
365, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
366, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
367, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
368, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
369, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
370, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
371, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
372, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
373, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
374, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
375, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
376, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
377, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
378, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
379, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
380, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
381, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
382, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
383, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
384, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
385, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
386, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
387, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
388, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
389, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
390, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
391, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
392, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
393, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
394, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
395, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
396, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
397, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
398, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
399, 0.1556568601037234, 0.07636271624150248, 0.24303312698218063, 0
