evals, mean, best, worst, success num
34, 0.08517699727424184, 0.07828728842035643, 0.09147180585944802, 0
35, 0.08517699727424184, 0.07828728842035643, 0.09147180585944802, 0
36, 0.08517699727424184, 0.07828728842035643, 0.09147180585944802, 0
37, 0.08517699727424184, 0.07828728842035643, 0.09147180585944802, 0
38, 0.08517699727424184, 0.07828728842035643, 0.09147180585944802, 0
39, 0.08517699727424184, 0.07828728842035643, 0.09147180585944802, 0
40, 0.08517699727424184, 0.07828728842035643, 0.09147180585944802, 0
41, 0.08517699727424184, 0.07828728842035643, 0.09147180585944802, 0
42, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
43, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
44, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
45, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
46, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
47, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
48, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
49, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
50, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
51, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
52, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
53, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
54, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
55, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
56, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
57, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
58, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
59, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
60, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
61, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
62, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
63, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
64, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
65, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
66, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
67, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
68, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
69, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
70, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
71, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
72, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
73, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
74, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
75, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
76, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
77, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
78, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
79, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
80, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
81, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
82, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
83, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
84, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
85, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
86, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
87, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
88, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
89, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
90, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
91, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
92, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
93, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
94, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
95, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
96, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
97, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
98, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
99, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
100, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
101, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
102, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
103, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
104, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
105, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
106, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
107, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
108, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
109, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
110, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
111, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
112, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
113, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
114, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
115, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
116, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
117, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
118, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
119, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
120, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
121, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
122, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
123, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
124, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
125, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
126, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
127, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
128, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
129, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
130, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
131, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
132, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
133, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
134, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
135, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
136, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
137, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
138, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
139, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
140, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
141, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
142, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
143, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
144, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
145, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
146, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
147, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
148, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
149, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
150, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
151, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
152, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
153, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
154, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
155, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
156, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
157, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
158, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
159, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
160, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
161, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
162, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
163, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
164, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
165, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
166, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
167, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
168, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
169, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
170, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
171, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
172, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
173, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
174, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
175, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
176, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
177, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
178, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
179, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
180, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
181, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
182, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
183, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
184, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
185, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
186, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
187, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
188, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
189, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
190, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
191, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
192, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
193, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
194, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
195, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
196, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
197, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
198, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
199, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
200, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
201, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
202, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
203, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
204, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
205, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
206, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
207, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
208, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
209, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
210, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
211, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
212, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
213, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
214, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
215, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
216, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
217, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
218, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
219, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
220, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
221, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
222, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
223, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
224, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
225, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
226, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
227, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
228, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
229, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
230, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
231, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
232, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
233, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
234, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
235, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
236, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
237, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
238, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
239, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
240, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
241, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
242, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
243, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
244, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
245, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
246, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
247, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
248, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
249, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
250, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
251, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
252, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
253, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
254, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
255, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
256, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
257, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
258, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
259, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
260, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
261, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
262, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
263, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
264, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
265, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
266, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
267, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
268, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
269, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
270, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
271, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
272, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
273, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
274, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
275, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
276, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
277, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
278, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
279, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
280, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
281, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
282, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
283, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
284, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
285, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
286, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
287, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
288, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
289, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
290, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
291, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
292, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
293, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
294, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
295, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
296, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
297, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
298, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
299, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
300, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
301, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
302, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
303, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
304, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
305, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
306, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
307, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
308, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
309, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
310, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
311, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
312, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
313, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
314, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
315, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
316, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
317, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
318, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
319, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
320, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
321, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
322, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
323, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
324, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
325, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
326, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
327, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
328, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
329, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
330, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
331, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
332, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
333, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
334, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
335, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
336, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
337, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
338, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
339, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
340, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
341, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
342, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
343, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
344, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
345, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
346, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
347, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
348, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
349, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
350, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
351, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
352, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
353, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
354, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
355, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
356, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
357, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
358, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
359, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
360, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
361, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
362, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
363, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
364, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
365, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
366, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
367, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
368, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
369, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
370, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
371, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
372, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
373, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
374, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
375, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
376, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
377, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
378, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
379, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
380, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
381, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
382, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
383, 0.0737904980106467, 0.0156638030341126, 0.19790076318430308, 3
384, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
385, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
386, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
387, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
388, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
389, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
390, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
391, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
392, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
393, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
394, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
395, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
396, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
397, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
398, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
399, 0.05702913073318884, 0.03682399153886263, 0.07572372210529198, 3
